Date,AT-Neu,BR-Npw,BW-Gum,BW-Nxr,CA-DBB,CA-SCB,CA-SCC,CH-Cha,CH-Dav,CH-Oe2,CN-Hgu,DE-Dgw,DE-Hte,DE-SfN,DE-Zrk,FI-Hyy,FI-Lom,FI-Si2,FI-Sii,FR-LGt,HK-MPM,ID-Pag,IT-BCi,IT-Cas,JP-BBY,JP-Mse,JP-Swl,KR-CRK,MAERC,MY-MLM,NL-Hor,NZ-Kop,PH-RIf,RU-Ch2,RU-Che,RU-Cok,RU-Fy2,RU-SAM,RU-Vrk,SE-Deg,SE-St1,SE-Sto,UK-LBT,US-A03,US-A10,US-Atq,US-Beo,US-Bes,US-Bgl,US-Bi1,US-Bi2,US-Brw,US-BZB,US-BZF,US-BZS,US-CRT,US-DPW,US-EDN,US-EML,US-Ho1,US-HRA,US-HRC,US-Ics,US-Ivo,US-LA1,US-LA2,US-Los,US-MRM,US-Myb,US-NC4,US-NGB,US-NGC,US-ORv,US-OWC,US-PFa,US-Snd,US-Sne,US-Srr,US-StJ,US-Tw1,US-Tw3,US-Tw4,US-Tw5,US-Twt,US-Uaf,US-WPT
6/10/2003,NA,2.5,0.8,0.3,1.5,2.2,1.5,6.6,1.8,2.4,1.6,2.3,5,1.7,NA,1.5,NA,NA,1.5,3.8,0.2,5.6,2,1.5,2.7,NA,NA,1.5,3.5,1.1,1.1,2.7,1.1,0.1,0.1,NA,4.9,0.1,0.4,1.1,1.4,0.3,NA,0.1,0.2,0.3,0.2,0.2,5.5,1.2,1.2,0.2,1.4,1.6,1.4,1.8,0.5,0.2,0.8,4.5,1.3,1.3,0.9,0.8,1,NA,2.1,2.3,2.2,NA,0.2,0.9,NA,NA,2.3,1,1,2.4,2,0.6,1.2,0.3,0.5,0.7,1.8,NA
6/18/2003,3.3,2.2,0.6,0.6,1.7,1.9,1.5,6.2,2.3,1.7,0.4,NA,NA,2.6,2.4,2.3,1.4,2.1,2.2,4.2,0.9,4.9,2.4,2.1,2,1.5,NA,1,2.9,0.7,0.9,4.8,1.2,0.7,0.7,NA,5.7,0.1,1.3,1.8,1.8,2.4,NA,0.2,0.5,0.5,0.5,0.4,2.8,1.6,1.8,0.5,1.5,1.7,1.5,1.4,0.7,0.5,1,3.7,2,4.3,1.1,1.1,0.8,NA,2.2,1.6,1.9,NA,0.3,0.5,NA,1,3.1,1,1,2.2,1.9,0.7,1.1,0.7,0.7,1.1,2.6,NA
6/26/2003,4.8,2,1,0.6,2.2,0.9,1.6,5.6,1.3,1.2,1.4,NA,NA,2.3,NA,0.9,1.8,2.5,0.9,1.3,1.4,4.3,2.2,2.3,NA,1.6,NA,0.8,2.7,NA,NA,1.3,0.7,0.9,0.9,0.7,NA,0.1,1.2,1.8,1.9,1.8,NA,0.2,0.5,0.6,0.5,0.5,5.3,4.5,2,0.5,1.4,1.4,1.4,1.2,0.8,0.4,0.7,3.9,1.3,1.5,0.9,NA,1.4,NA,NA,1.4,2,NA,0.4,1.4,NA,2,NA,0.9,0.9,2.2,1.7,1,1.8,0.8,1,1,1.9,NA
7/4/2003,NA,1.5,0.7,0.6,1.9,NA,1.1,6.6,2.6,1.1,NA,2.6,5,2.4,4.1,4.4,0.3,2,NA,3.7,2,5.6,1.4,2.1,2.5,1.5,NA,1.2,0.9,5.6,3.6,2.7,0.9,1.4,1.3,1.2,2.5,0.3,1.8,1.9,1.9,2.6,NA,0.3,0.7,NA,0.5,0.6,6.1,5.3,2.7,0.7,1.7,1.8,1.7,1.5,0.7,0.2,1.3,2.3,2.6,2.3,1.4,1.6,1.2,NA,4.4,2.1,1.9,2.8,0.4,1.6,NA,NA,NA,0.9,0.9,1.6,3.9,1.5,1.5,1.4,1.4,1.1,2.5,NA
7/12/2003,NA,1.7,0.6,0.3,2.1,2.4,1.7,6.6,2.8,1.4,1.4,3.1,5.8,2.7,NA,4.5,1.9,NA,NA,3.5,2.2,5.7,1.3,2.5,NA,0.8,NA,NA,2.8,1.1,3.2,3.5,1,1.9,1.6,1.3,1.1,0.5,1.5,2.2,1.7,1.7,NA,0.4,1.2,1,0.8,0.8,4.9,3.6,2.5,1.2,2.1,2.4,2.1,1.2,1,0.2,1.4,NA,2.9,2.9,1.6,1.7,1.3,NA,5.5,1.7,1.7,NA,0.7,1.7,NA,1.9,5.3,0.8,0.8,1.7,2.4,2.1,1.4,1.5,1.3,1.4,2.5,NA
7/20/2003,NA,1.9,0.8,0.3,2.2,2.1,1.5,6.6,1.2,1.4,2.4,1.1,4.9,2.3,6.7,4,2.2,2,NA,NA,0.6,6.6,1,2.2,1.4,NA,NA,2.3,3.2,5.7,4,2.4,2.1,1.2,1.4,0.6,4.5,0.8,1.7,2.3,2.2,2.4,NA,0.5,1,NA,0.7,0.5,4.8,3.8,2.4,1,1.6,2,1.6,0.9,1,0.2,1.7,NA,4.5,4.1,1.6,NA,1.3,NA,4.7,NA,1.6,NA,NA,1.7,NA,NA,4.7,1,1,1.4,2.2,1.9,0.7,2,2,1.6,1.4,NA
7/28/2003,5,1.5,0.8,0.5,2.7,2.1,1.8,6.6,2.9,1.8,1.9,3.1,4.5,1.9,3.2,4.3,2.1,1.9,1.4,4.3,0.5,6.2,1.1,2.3,0.8,2,NA,2.4,2.3,3.6,3.7,4.8,NA,1.9,1.6,1.3,4.9,0.6,2,2,2.2,2.7,NA,0.6,0.1,0.7,NA,NA,4.9,2.1,2.3,0.1,0.6,1.1,0.6,1.5,1,0.2,1.7,NA,3.5,4.5,NA,1.7,1.1,NA,6.3,1.1,2,NA,NA,1.6,NA,NA,5.4,0.8,0.8,1,0.8,1.6,1.1,2.1,1.9,1.9,3.1,NA
8/5/2003,2.8,1.4,0.7,0.5,1.9,2.4,1.5,6.2,2.2,1.5,1.4,3.5,4.3,2.3,1.9,2.9,1.5,0.6,1.8,2.9,0.7,NA,0.9,1.9,1,2.6,NA,1.8,NA,6.6,2.9,4.2,1.3,1.8,1.9,1.4,NA,0.7,1.4,2.1,1.5,2.1,NA,0.6,1,0.9,0.7,0.8,5.6,NA,2.3,1,1.7,1.6,1.7,1.2,0.5,0.3,1.2,NA,2.4,1.6,1.2,1.9,1.3,NA,4.9,NA,1.9,NA,0.6,1.6,NA,2.3,6.6,1.1,1.1,2.2,1.7,1.5,0.8,2.1,1.9,2.1,1.7,NA
8/13/2003,4.2,1.4,0.6,0.4,2.2,1.9,1.8,6,1.4,1.3,1,NA,4.6,2.5,0.4,1.4,1.6,1.2,NA,2.8,1.7,6.2,0.7,1.6,1.5,NA,NA,2.6,2.9,NA,2.6,3.5,0.5,1.3,0.9,NA,NA,0.3,1.5,2,1.6,1.8,NA,NA,0.1,0.6,NA,NA,4.8,2.2,1.9,0.1,1.2,1.1,1.2,1.5,0.8,0.2,1,NA,1.6,1.4,0.7,NA,2.2,NA,5.9,1.5,1.7,NA,NA,1.5,NA,NA,6.7,1,1,1.8,2.1,1.9,0.8,2.2,2.2,1.7,1.5,NA
8/21/2003,1.8,1.5,0.8,0.6,1.6,2.1,1.6,6.5,2.5,1,1.6,1.6,2.7,3.1,1.3,NA,0.3,NA,NA,2.8,0.2,6.2,0.5,1,3.6,2.5,NA,0.7,2.7,5.8,0.8,1.8,1.1,1,1,1.1,1,0.2,1,0.3,1.2,0.9,NA,0.5,0.9,0.6,0.6,0.3,2.4,NA,1.7,0.9,0.9,1,0.9,1.2,0.9,0.2,1.1,0.9,2,1.9,1,1,1,NA,4.7,0.6,1.6,0.9,0.4,1,NA,NA,5.2,1.5,1.5,1.7,2.3,1.9,0.7,2.1,2.1,1.5,1.2,NA
8/29/2003,1.8,2.1,0.6,0.5,1.8,1.7,1.1,6.2,2.4,1.1,1.7,1.2,4.4,2.4,1.6,3.6,0.9,1.2,0.9,2.2,0.7,6.2,0.5,0.9,1.2,2.3,NA,1.3,1.5,5.6,1.8,2.8,NA,0.8,0.7,1,1.7,0.6,NA,1.3,1.6,0.8,NA,NA,0.8,0.6,0.5,0.5,4.6,3.8,1.4,0.8,0.6,0.7,0.6,1.3,0.6,0.2,0.8,1.5,0.7,1,0.7,0.7,1.9,NA,6.4,2.5,1.5,2,0.3,0.7,NA,2.8,5.2,1.3,1.3,1.9,4.6,1.4,0.7,1.6,1.6,1.5,0.9,NA
9/6/2003,NA,1.4,0.5,0.6,2.8,1.3,0.7,NA,NA,1.2,1.1,2.4,4.6,NA,1.8,3.9,1.1,1.5,2.1,1.6,0.8,6.2,0.5,0.6,NA,1.3,NA,NA,2,4,2.5,2.3,0.9,0.4,0.3,0.3,0.7,0.1,1.2,1.3,1.1,1.1,NA,0.1,0.4,0.3,0.4,0.3,4.7,1.9,0.7,0.4,0.8,1,0.8,1,1,0.2,0.6,4.9,1.3,1.3,0.7,0.7,1.3,NA,5.2,2.3,1.6,NA,0.4,0.8,NA,3.7,3.1,1.1,1.1,1.9,1.8,1,0.6,1.6,1.4,1.2,1.3,NA
9/14/2003,4.9,1.5,0.8,0.8,1.9,0.2,0.2,5.6,1.9,2,1.5,2.7,4.5,1.7,2,2.1,0.9,1.3,1.3,2.3,1.1,NA,0.5,0.7,1,1.4,NA,0.9,2.3,NA,2.7,3.7,2.4,0.2,0.3,NA,1.2,0.5,NA,1.2,0.1,0.2,NA,NA,0.1,0.1,NA,NA,1.6,1.3,0.7,0.1,0.4,0.7,0.4,0.7,0.6,0.2,NA,2.8,1.3,1.1,NA,NA,2.1,NA,2.8,1.9,1.3,4.2,NA,0.8,NA,NA,2.3,1.1,1.1,1.6,1.6,0.7,0.5,1.2,1.2,1,0.8,NA
9/22/2003,4.4,1.4,0.7,0.9,1.8,1.2,0.7,5.8,1.2,1.7,1.6,4.3,4.7,1.4,2.1,1,1,NA,1.3,3.4,1.9,0.1,0.5,0.6,1.6,0.5,NA,0.5,2.7,6.5,1.7,NA,1.4,0.1,0.1,NA,1.2,NA,0.6,1,0.5,0.7,NA,NA,NA,NA,NA,NA,1.7,1,0.6,NA,0.6,0.6,0.6,0.6,0.5,0.2,NA,4.9,0.9,0.9,NA,NA,1.5,NA,1.4,0.6,1.4,2,NA,0.8,NA,NA,1.2,1,1,1.4,1.4,0.7,0.3,0.9,0.7,0.7,0.8,NA
9/30/2003,0.9,2.2,0.8,0.8,1.6,1.2,0.7,4.7,NA,1,0.7,2.8,4.3,1.2,1,0.3,NA,1.2,1,2,1,NA,0.5,0.3,2,0.5,NA,0.3,0.1,0.6,2,2.7,1.7,NA,NA,NA,0.4,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,1.3,0.7,0.5,NA,0.3,0.3,0.3,0.5,0.3,0.1,NA,4,0.9,0.5,NA,NA,1.5,NA,1.2,1.2,1.4,2.7,NA,0.7,NA,2.4,2.6,1,1,1.1,1.1,0.6,0.3,0.7,0.5,0.7,0.7,NA
10/8/2003,4.6,2.2,1,0.9,0.8,1,0.6,5.1,1,1.2,0.8,3.1,2,1.3,2,NA,NA,NA,NA,2,0.3,6.6,0.7,0.6,1.4,0.2,NA,0.2,2.1,6.5,1.3,3.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.6,0.5,NA,NA,NA,NA,0.6,1.3,0.2,NA,3.1,0.4,0.4,NA,NA,1.1,NA,0.8,1.2,1.6,2.3,NA,NA,NA,1.5,0.9,1.2,1.2,1.6,1.6,0.6,0.5,0.7,0.6,1,NA,NA
10/16/2003,1.3,2.2,0.9,0.9,0.8,NA,NA,5,1.7,0.9,0.7,2.3,1.4,0.9,2.1,NA,NA,NA,NA,1.8,1.3,NA,0.8,0.3,0.6,0.5,NA,0.2,2.3,1.4,1.9,3.6,1.1,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.3,NA,NA,NA,NA,0.4,0.6,0.1,NA,1.8,0.5,0.4,NA,NA,1.2,NA,0.7,1.1,1.1,2.5,NA,NA,NA,0.8,0.9,0.9,0.9,1.1,1.5,0.5,0.3,0.6,0.5,0.6,NA,NA
10/24/2003,0.3,2.2,0.6,1,0.9,NA,NA,4.1,0.4,0.6,0.6,1.4,1.4,1,2.1,NA,NA,NA,NA,1.7,1.3,NA,0.8,0.1,0.8,0.3,NA,0.2,2,NA,1.5,3.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,NA,NA,NA,NA,0.3,0.9,0.2,NA,1.1,0.3,0.3,NA,NA,1.2,NA,0.5,0.6,1,1.7,NA,NA,NA,1,0.5,0.7,0.7,1.3,0.6,0.5,0.3,0.5,0.5,1.2,NA,NA
11/1/2003,1.3,2.9,1,0.9,1.1,NA,NA,3,0.8,0.8,0.5,0.6,1,0.9,1.3,NA,NA,NA,NA,1.4,0.8,6.2,1.2,0.3,0.7,0.3,NA,0.1,0.5,NA,1.2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.2,0.2,NA,NA,NA,NA,0.3,0.4,0.1,NA,0.8,0.3,0.3,NA,NA,1.1,NA,0.5,0.6,0.5,1.1,NA,NA,NA,0.3,0.7,0.5,0.5,0.7,0.4,0.3,0.3,0.3,0.3,0.3,NA,NA
11/9/2003,1.3,3.8,0.7,0.9,0.9,NA,NA,2.9,0.8,0.3,0.3,NA,NA,0.9,NA,NA,NA,NA,NA,1,0.7,NA,1.3,0.2,0.5,0.3,NA,0.1,2,4.1,0.7,1.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.1,0.1,NA,NA,NA,NA,0.3,0.6,0.1,NA,1.9,0.1,0.2,NA,NA,1.2,NA,0.5,0.6,0.5,1.3,NA,NA,NA,0.7,0.7,0.3,0.3,0.7,0.3,0.3,0.3,0.2,0.3,0.3,NA,NA
11/17/2003,0.5,0.6,1,1.2,0.9,NA,NA,NA,0.9,NA,0.3,NA,NA,0.8,NA,NA,NA,NA,NA,0.9,2.3,NA,1.4,0.1,0.8,0.3,NA,0.1,1.9,NA,NA,4.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.1,0.1,NA,NA,NA,NA,0.3,0.7,0.1,NA,2.1,0.1,0.2,NA,NA,1.1,NA,0.4,0.4,0.4,1.3,NA,NA,NA,0.5,0.4,0.4,0.4,0.7,0.5,0.1,0.1,0.1,0.1,0.3,NA,NA
11/25/2003,0.4,4.2,1.1,0.5,NA,NA,NA,2.6,NA,0.4,0.3,NA,NA,0.5,NA,NA,NA,NA,NA,NA,1.2,6.1,2.4,0.1,0.8,0.1,NA,0.1,1.8,4.8,NA,0.2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,NA,NA,NA,0.3,0.7,0.2,NA,2,0.1,0.1,NA,NA,0.7,NA,NA,0.4,0.4,1.1,NA,NA,NA,0.5,0.4,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.3,NA,NA
12/3/2003,NA,NA,1.3,1.3,NA,NA,NA,2,0.4,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.9,1.2,2,0.1,NA,0.1,NA,0.1,1.4,NA,NA,2.5,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.6,0.1,NA,1.2,0.1,0.1,NA,NA,0.7,NA,NA,0.4,0.3,1.1,NA,NA,NA,NA,0.5,0.3,0.3,0.3,0.4,0.1,0.1,0.1,0.1,0.3,NA,NA
12/11/2003,NA,2.8,0.9,1.1,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,2,0.1,NA,0.1,NA,0.1,1.6,NA,NA,0.4,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.7,0.1,NA,1.5,NA,0.1,NA,NA,0.6,NA,NA,0.4,0.4,1,NA,NA,NA,0.1,NA,0.6,0.6,0.3,0.3,0.1,0.1,0.1,0.1,0.1,NA,NA
12/19/2003,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,6.7,0.1,NA,0.1,NA,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,0.5,NA,NA,NA,0.1,0.1,NA,NA,0.7,NA,NA,NA,0.2,1.2,NA,NA,NA,NA,NA,0.3,0.3,0.1,0.5,0.1,0.1,NA,NA,0.1,NA,NA
12/27/2003,NA,1.8,0.6,1.9,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,0.6,NA,NA,0.1,NA,0.1,1.1,NA,NA,3.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.6,0.1,NA,1.2,0.1,0.1,NA,NA,0.5,NA,0.3,0.4,0.4,1.1,NA,NA,NA,0.2,0.4,0.6,0.6,0.3,0.4,0.1,0.1,0.1,0.1,0.1,NA,NA
1/1/2004,NA,1,1,1.9,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,2.1,NA,NA,0.1,NA,0.1,1.1,NA,NA,5.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,0.1,0.6,0.1,NA,1.1,0.1,0.1,NA,NA,0.4,NA,NA,0.1,0.2,1.1,NA,NA,NA,0.2,NA,0.6,0.6,0.3,0.3,0.1,0.1,0.1,0.1,0.1,NA,NA
1/9/2004,0.1,0.7,1.5,2.5,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1,6.2,0.5,0.1,NA,0.2,NA,0.1,1,NA,NA,4.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,0.3,0.3,NA,2.3,0.1,0.1,NA,NA,0.5,NA,0.1,0.2,0.1,0.9,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.3,0.1,NA,0.1,NA,NA,NA,NA
1/17/2004,0.1,0.2,1.8,1.9,NA,NA,NA,2.8,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,3.9,1.4,NA,NA,0.1,NA,NA,1.3,NA,NA,4.1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,1,0.1,NA,1.4,0.1,0.1,NA,NA,0.5,NA,NA,0.1,0.3,1.1,NA,NA,NA,NA,0.3,1,1,0.3,0.4,0.1,0.1,0.1,0.1,0.3,NA,NA
1/25/2004,NA,2.2,1.7,2,NA,NA,NA,NA,0.1,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.5,NA,2.1,0.1,NA,0.1,NA,0.1,1.2,3.7,0.1,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.6,NA,NA,NA,NA,NA,0.3,0.1,NA,1.5,0.1,0.1,NA,NA,0.5,NA,NA,NA,0.6,1,NA,NA,NA,NA,0.3,0.8,0.8,0.3,0.1,0.1,0.3,0.1,0.1,NA,NA,NA
2/2/2004,NA,1.1,1.4,2,NA,NA,NA,3.3,0.1,0.5,0.2,NA,0.1,1,NA,NA,NA,NA,NA,1,0.7,NA,0.9,0.1,NA,0.1,NA,0.1,1,NA,NA,2.8,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,0.3,0.1,NA,1.1,0.1,0.1,NA,NA,0.7,NA,NA,0.1,1,1.2,NA,NA,NA,NA,NA,1.1,1.1,0.4,0.3,0.1,0.1,0.1,0.2,0.5,NA,NA
2/10/2004,NA,2.2,1.5,1.1,1,NA,NA,2.5,0.1,0.7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.7,NA,2.9,0.1,NA,0.1,NA,0.1,0.9,0.9,NA,4.7,1,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,NA,NA,NA,NA,0.1,0.2,0.3,NA,2.8,0.1,0.1,NA,NA,0.8,NA,NA,0.1,0.6,0.9,NA,NA,NA,NA,NA,1.1,1.1,0.5,0.3,0.1,0.3,0.1,0.1,0.7,NA,NA
2/18/2004,NA,0.8,1.6,1.8,0.8,NA,NA,2.3,0.1,0.2,0.3,0.9,0.5,0.7,0.4,NA,NA,NA,NA,1,0.7,4.8,0.7,0.1,NA,0.2,NA,0.1,1,NA,0.7,3.7,0.7,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.9,NA,NA,NA,NA,0.1,0.6,0.2,NA,1.1,0.1,0.1,NA,NA,0.9,NA,NA,0.1,0.5,1.3,NA,NA,NA,NA,NA,1.6,1.6,0.7,0.3,0.1,0.3,0.1,0.1,0.3,NA,NA
2/26/2004,NA,3.4,0.7,0.8,0.8,NA,NA,2,NA,0.2,0.3,0.6,0.4,NA,0.3,NA,NA,NA,NA,1.1,0.6,NA,1.7,0.1,NA,0.2,NA,0.1,0.8,NA,0.5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.6,NA,NA,NA,NA,0.1,0.5,0.3,NA,0.8,0.1,0.1,NA,NA,0.9,NA,NA,0.1,2,1.2,NA,NA,NA,0.7,NA,2,2,0.7,0.5,0.3,0.5,0.2,0.3,0.5,NA,NA
3/5/2004,NA,3,1.4,2.1,1.2,NA,NA,2.2,0.1,0.6,0.2,0.5,0.3,NA,0.3,0.7,NA,NA,NA,NA,1,NA,1.4,0.1,NA,0.3,NA,0.1,1.5,NA,0.1,3.1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1,NA,NA,0.1,NA,0.3,0.3,0.6,NA,NA,0.1,0.1,NA,NA,0.7,NA,NA,0.3,3,1.4,NA,NA,NA,0.7,NA,2.4,2.4,1,0.5,0.6,0.5,0.3,0.6,0.9,0.2,NA
3/13/2004,NA,1.7,1.5,0.6,0.8,NA,NA,3.4,0.2,0.9,0.3,0.9,0.3,0.9,0.6,NA,NA,NA,NA,1.2,0.2,NA,1.6,0.2,NA,0.2,NA,0.1,1.3,6.6,0.4,4.6,0.7,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.5,NA,NA,NA,NA,0.3,0.8,0.4,NA,0.9,0.1,0.1,NA,NA,1.2,NA,NA,0.1,1.9,1.3,NA,NA,NA,0.8,NA,4.7,4.7,1.3,0.2,0.6,0.9,0.3,0.3,1.2,0.3,NA
3/21/2004,NA,3.6,0.8,0.6,1.2,NA,NA,3.2,0.2,0.7,0.2,0.6,0.5,NA,1,NA,NA,NA,NA,1.3,0.1,NA,0.9,0.1,NA,0.2,NA,0.1,1.7,6.2,0.4,3.1,1.3,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,0.8,NA,NA,NA,NA,0.3,0.7,0.1,NA,1.2,0.1,0.1,NA,NA,1.4,NA,NA,0.1,1.8,1.2,NA,NA,NA,0.6,NA,3.6,3.6,1.5,0.5,0.3,0.5,0.3,0.3,1,NA,NA
3/29/2004,0.9,3.6,1,2,0.8,NA,NA,5.7,0.2,1.3,0.3,0.9,0.7,0.9,1.3,0.7,NA,0.1,NA,0.9,0.3,6.6,1.4,0.2,NA,0.2,NA,0.2,2,4.3,1,4.3,1,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,1.5,NA,NA,0.1,NA,0.3,1.1,0.3,NA,1.9,0.2,0.2,NA,NA,1.4,NA,0.5,0.1,2.5,1.7,NA,NA,NA,0.4,0.5,2.6,2.6,2,0.3,0.5,0.5,0.2,0.3,1.2,NA,NA
4/6/2004,NA,3.8,1.4,1.7,1.4,NA,NA,0.1,0.1,1.5,0.3,0.6,0.7,1,1.1,0.8,NA,0.2,NA,1.1,1.4,6.2,1.4,0.3,0.2,0.2,NA,0.2,NA,6.6,0.5,2.6,1.2,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,NA,0.1,0.1,0.1,0.4,1,0.5,NA,2.1,0.1,0.3,NA,NA,1.4,NA,0.5,0.2,1.9,1.6,NA,NA,NA,0.8,0.7,4.3,4.3,2.3,0.5,1,0.3,0.5,0.3,1.2,0.3,NA
4/14/2004,1.5,2.3,1.2,1.7,1.2,NA,NA,6.7,0.3,1.1,0.5,1,0.9,1.1,2,1.5,NA,1.2,1.2,0.8,1.1,6.4,1.7,0.5,0.2,0.3,NA,0.1,1.5,NA,1.7,4.8,1.3,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1.4,NA,0.2,0.4,0.2,0.5,0.9,0.4,NA,2.9,0.3,0.4,NA,NA,1.6,NA,0.7,0.3,1.9,1.7,NA,NA,NA,1,0.9,1.6,1.6,2.2,0.7,0.3,0.3,0.2,0.3,1.5,0.5,NA
4/22/2004,5.2,2.6,0.9,1.4,1.7,NA,0.1,6.7,0.3,2.1,0.7,1.6,1.3,1.3,2.3,1.8,NA,1.2,1.2,1.5,0.2,6.6,1,0.6,0.7,0.3,NA,0.1,1.6,5.6,3,2.4,1.1,NA,NA,NA,0.8,NA,NA,0.8,0.1,0.1,NA,NA,NA,NA,NA,NA,0.7,0.3,0.7,NA,0.3,0.3,0.3,0.4,1.5,0.5,NA,2.2,0.4,0.6,NA,NA,1.2,NA,1,0.2,2.6,3.9,NA,NA,NA,0.9,1,2.4,2.4,2.2,1.2,0.6,0.3,0.3,0.4,1.4,1,NA
4/30/2004,NA,2.4,1.2,1.5,1.6,0.5,0.2,NA,0.2,NA,0.7,2.1,2.9,1.2,2.7,2.2,0.2,1.3,1.2,NA,0.6,6.6,0.9,0.2,0.9,0.2,NA,0.1,2,NA,0.9,2.8,1,NA,NA,NA,0.9,NA,NA,0.9,0.3,0.2,NA,NA,NA,NA,NA,NA,0.9,0.4,0.7,NA,0.3,0.5,0.3,0.5,1.7,0.3,NA,1.2,0.6,0.7,NA,NA,1.5,NA,0.6,0.4,2.3,6.2,NA,0.2,NA,0.7,0.9,1.3,1.3,2.3,1,0.7,0.5,0.3,0.5,1.6,0.9,NA
5/8/2004,NA,2.7,1,1.4,1.9,0.7,0.7,6.5,1.2,NA,1,2.5,1.9,1.2,NA,3.5,0.5,1.5,1.5,1.5,1.1,6.3,0.8,0.6,1,0.4,NA,0.2,1.6,NA,3,2.6,1.2,NA,NA,NA,1.3,NA,NA,0.8,0.7,0.8,NA,NA,NA,NA,NA,NA,0.9,0.5,0.4,NA,0.5,0.6,0.5,0.6,1.3,0.2,NA,2.3,0.3,0.3,NA,NA,1.6,NA,0.5,0.8,2.5,5.7,NA,NA,NA,1.3,0.9,1.4,1.4,2.4,1.4,0.7,0.6,0.3,0.6,1.8,1,NA
